+Linda by Dalex
10,000 Hours (with Justin Bieber) by Dan + Shay
2012 by Bausa
21 by Polo G
24 (feat. Lil Baby) by Money Man
44 BullDog by Pop Smoke
7 rings by Ariana Grande
7 Summers by Morgan Wallen
ADMV by Maluma
Adore You by Harry Styles
