SUBTREE OF BST
Blinding Lights by The Weeknd has streamed 32272255 times and streamed on average 27532361 times
Blood On My Jeans by Juice WRLD has streamed 15277814 times and streamed on average 10128356 times
bloody valentine by Machine Gun Kelly has streamed 6032935 times and streamed on average 6032935 times
Blueberry Faygo by Lil Mosey has streamed 16936460 times and streamed on average 13083724 times
Bläulich by Apache 207 has streamed 9748926 times and streamed on average 7174167 times
Bohemian Rhapsody - 2011 Mix by Queen has streamed 5584068 times and streamed on average 5492145 times
BOP by DaBaby has streamed 4755598 times and streamed on average 4626024 times
Boss Bitch by Doja Cat has streamed 7680974 times and streamed on average 6150906 times
Boy With Luv (feat. Halsey) by BTS has streamed 5820968 times and streamed on average 5412202 times
Brand New Draco by 21 Savage has streamed 5841110 times and streamed on average 5841110 times
Break My Heart by Dua Lipa has streamed 17901708 times and streamed on average 13115224 times
Breaking Me by Topic has streamed 18484450 times and streamed on average 16281240 times
Bruises by Lewis Capaldi has streamed 4752861 times and streamed on average 4635695 times
BXL ZOO by Damso has streamed 5101640 times and streamed on average 5101640 times
Can't Die by Juice WRLD has streamed 11121119 times and streamed on average 8449489 times
Caramelo by Ozuna has streamed 9826561 times and streamed on average 10233639 times
Caramelo - Remix by Ozuna has streamed 5946178 times and streamed on average 5994392 times
cardigan by Taylor Swift has streamed 35783009 times and streamed on average 20547341 times
Chicago Freestyle (feat. Giveon) by Drake has streamed 8456023 times and streamed on average 6627530 times
China by Anuel AA has streamed 5733681 times and streamed on average 5180353 times
Circles by Post Malone has streamed 11558990 times and streamed on average 10161666 times
Closer by The Chainsmokers has streamed 4451536 times and streamed on average 4395063 times
Come & Go (with Marshmello) by Juice WRLD has streamed 30027587 times and streamed on average 20989663 times
Como Llora by Juanfran has streamed 4450691 times and streamed on average 4415499 times
Conversations by Juice WRLD has streamed 21350095 times and streamed on average 13077730 times
Coño by Jason Derulo has streamed 4486806 times and streamed on average 4474608 times
Crazy Over You by BLACKPINK has streamed 13417932 times and streamed on average 13417932 times
Creature (feat. Swae Lee) by Pop Smoke has streamed 7308690 times and streamed on average 7308690 times
Cry About It Later by Katy Perry has streamed 5306994 times and streamed on average 5306994 times
CÓMO SE SIENTE - Remix by Jhay Cortez has streamed 6545230 times and streamed on average 5687163 times
Daddy Issues by The Neighbourhood has streamed 4851074 times and streamed on average 4851074 times
Daisies by Katy Perry has streamed 4838067 times and streamed on average 4838067 times
Daisy by Ashnikko has streamed 5539383 times and streamed on average 6622987 times
Dance Monkey by Tones And I has streamed 19043383 times and streamed on average 15788112 times
Daylight by Joji has streamed 5556471 times and streamed on average 6188154 times
death bed (coffee for your head) by Powfu has streamed 22131026 times and streamed on average 16617870 times
Deep End Freestyle by Sleepy Hallow has streamed 5698488 times and streamed on average 5489649 times
Del Mar by Ozuna has streamed 7050633 times and streamed on average 6374366 times
Desce Pro Play (PA PA PA) by Mc Zaac has streamed 5518518 times and streamed on average 5067019 times
Despeinada by Ozuna has streamed 4892383 times and streamed on average 8149217 times
DEUX TOILES DE MER by Damso has streamed 5094137 times and streamed on average 5094137 times
Diamonds by Sam Smith has streamed 10413301 times and streamed on average 8961798 times
Dior by Pop Smoke has streamed 5223126 times and streamed on average 5979240 times
Diosa by Myke Towers has streamed 5037376 times and streamed on average 4952778 times
Djadja (feat. Maluma) - Remix by Aya Nakamura has streamed 5791395 times and streamed on average 6677458 times
DOLLAZ ON MY HEAD (feat. Young Thug) by Gunna has streamed 5298488 times and streamed on average 5208930 times
Dolly (with Lil Uzi Vert) by Lil Tecca has streamed 4800543 times and streamed on average 4800543 times
Don Don by Daddy Yankee has streamed 6454296 times and streamed on average 6356730 times
Don't Start Now by Dua Lipa has streamed 18537909 times and streamed on average 14342000 times
Don't Stop Believin' by Journey has streamed 4394985 times and streamed on average 4394985 times
Don't Stop Me Now - 2011 Mix by Queen has streamed 4385366 times and streamed on average 4393944 times
Dreams - 2004 Remaster by Fleetwood Mac has streamed 6931843 times and streamed on average 9029201 times
drunk face by Machine Gun Kelly has streamed 4834258 times and streamed on average 4834258 times
Dynamite by BTS has streamed 39904687 times and streamed on average 34131890 times
Ego Death (feat. Kanye West, FKA twigs & Skrillex) by Ty Dolla $ign has streamed 7357022 times and streamed on average 5970248 times
El Efecto by Rauw Alejandro has streamed 5519710 times and streamed on average 4992926 times
El Efecto - Remix by Rauw Alejandro has streamed 4484316 times and streamed on average 4458850 times
El Manual by Anuel AA has streamed 4470597 times and streamed on average 4470597 times
El Mismo Aire - con Pablo Alborán by Camilo has streamed 4556759 times and streamed on average 4868713 times
Electric Love by BØRNS has streamed 5308884 times and streamed on average 6197534 times
Elegí (feat. Dímelo Flow) by Rauw Alejandro has streamed 8370993 times and streamed on average 6675628 times
Emotionally Scarred by Lil Baby has streamed 4633237 times and streamed on average 4633237 times
Enjoy Yourself (feat. Karol G) by Pop Smoke has streamed 6620040 times and streamed on average 6620040 times
Epidemic by Polo G has streamed 6292620 times and streamed on average 6292620 times
epiphany by Taylor Swift has streamed 14542269 times and streamed on average 10313895 times
everything i wanted by Billie Eilish has streamed 7539582 times and streamed on average 6697892 times
Ew by Joji has streamed 6936305 times and streamed on average 6936305 times
exile (feat. Bon Iver) by Taylor Swift has streamed 30941803 times and streamed on average 17933168 times
Falling by Trevor Daniel has streamed 12184922 times and streamed on average 9275363 times
Favorito by Camilo has streamed 7567244 times and streamed on average 7070876 times
feel something by Bea Miller has streamed 4815296 times and streamed on average 5139360 times
Fighting Demons by Juice WRLD has streamed 12997697 times and streamed on average 9472135 times
Flex (feat. Juice WRLD) by Polo G has streamed 5443862 times and streamed on average 5054071 times
For The Night (feat. Lil Baby & DaBaby) by Pop Smoke has streamed 15991876 times and streamed on average 19414923 times
forget me too (feat. Halsey) by Machine Gun Kelly has streamed 8889104 times and streamed on average 7530669 times
FRANCHISE (feat. Young Thug & M.I.A.) by Travis Scott has streamed 18111805 times and streamed on average 14426850 times
Freak by Doja Cat has streamed 4736059 times and streamed on average 4736059 times
Frühstück in Paris by Capital Bra has streamed 5440253 times and streamed on average 5440253 times
Fuckst mich nur ab by Bonez MC has streamed 6056252 times and streamed on average 5477386 times
Gangstas by Pop Smoke has streamed 9183170 times and streamed on average 7143796 times
Get You The Moon (feat. Snøw) by Kina has streamed 4574684 times and streamed on average 4704506 times
Gifted (feat. Roddy Ricch) by Cordae has streamed 4609169 times and streamed on average 4609169 times
Gimme Love by Joji has streamed 7471309 times and streamed on average 7471309 times
Girls in the Hood by Megan Thee Stallion has streamed 4577209 times and streamed on average 4577209 times
Girls Like You (feat. Cardi B) by Maroon 5 has streamed 4318772 times and streamed on average 4318772 times
Glock In My Lap by 21 Savage has streamed 10620418 times and streamed on average 10620418 times
GO (feat. Juice WRLD) by The Kid LAROI has streamed 7668876 times and streamed on average 6143934 times
Go Crazy by Chris Brown has streamed 6702857 times and streamed on average 8166460 times
Godzilla (feat. Juice WRLD) by Eminem has streamed 7303448 times and streamed on average 6311327 times
GOOBA by 6ix9ine has streamed 12913152 times and streamed on average 8802053 times
Goodbyes (feat. Young Thug) by Post Malone has streamed 4846620 times and streamed on average 4687181 times
goosebumps by Travis Scott has streamed 11067630 times and streamed on average 9846503 times
Got It On Me by Pop Smoke has streamed 10606428 times and streamed on average 8206995 times
GREECE (feat. Drake) by DJ Khaled has streamed 15266857 times and streamed on average 11674028 times
Hallucinate by Dua Lipa has streamed 4467368 times and streamed on average 4470018 times
Happier by Marshmello has streamed 5563095 times and streamed on average 5247769 times
Hasta Que Dios Diga by Anuel AA has streamed 11096052 times and streamed on average 8555505 times
Hate The Other Side (with Marshmello & The Kid Laroi) by Juice WRLD has streamed 19071066 times and streamed on average 11961531 times
Hawái by Maluma has streamed 9103904 times and streamed on average 18230253 times
Head & Heart (feat. MNEK) by Joel Corry has streamed 4844615 times and streamed on average 11881179 times
Head Shoulders Knees & Toes (feat. Norma Jean Martine) by Ofenbach has streamed 4721328 times and streamed on average 4901953 times
Heart Of Glass (Live from the iHeart Festival) by Miley Cyrus has streamed 5555132 times and streamed on average 5555132 times
Heather by Conan Gray has streamed 5727705 times and streamed on average 10994089 times
Hello (feat. A Boogie Wit da Hoodie) by Pop Smoke has streamed 4943222 times and streamed on average 5396752 times
High Fashion (feat. Mustard) by Roddy Ricch has streamed 5053176 times and streamed on average 4822974 times
High Hopes by Panic! At The Disco has streamed 4426791 times and streamed on average 4426791 times
Higher Love by Kygo has streamed 4581744 times and streamed on average 4487340 times
HIGHEST IN THE ROOM by Travis Scott has streamed 9864647 times and streamed on average 8757367 times
Hit Different by SZA has streamed 7762540 times and streamed on average 6406201 times
Hit My Line by Logic has streamed 4621205 times and streamed on average 4621205 times
hoax by Taylor Swift has streamed 12523531 times and streamed on average 8949737 times
Hola - Remix by Dalex has streamed 4628759 times and streamed on average 4623242 times
Holy (feat. Chance The Rapper) by Justin Bieber has streamed 28367431 times and streamed on average 25329019 times
hot girl bummer by blackbear has streamed 6798892 times and streamed on average 5996536 times
Hot Stuff by Kygo has streamed 4569978 times and streamed on average 4569978 times
How You Like That by BLACKPINK has streamed 28978705 times and streamed on average 22545705 times
I Don't Care (with Justin Bieber) by Ed Sheeran has streamed 7051893 times and streamed on average 6378381 times
I Like Me Better by Lauv has streamed 4430642 times and streamed on average 4430642 times
I Want It by Juice WRLD has streamed 11650662 times and streamed on average 8394072 times
I'm Yours by Jason Mraz has streamed 4373772 times and streamed on average 4382719 times
Ice Cream (with Selena Gomez) by BLACKPINK has streamed 27060455 times and streamed on average 22947104 times
if i were u (with Lauv) by blackbear has streamed 4561189 times and streamed on average 4561189 times
If the World Was Ending - feat. Julia Michaels by JP Saxe has streamed 7696354 times and streamed on average 7214487 times
Ignorantes by Bad Bunny has streamed 5327086 times and streamed on average 4970534 times
Ihr Hobby by Bonez MC has streamed 4723116 times and streamed on average 4723116 times
illicit affairs by Taylor Swift has streamed 17460860 times and streamed on average 11257259 times
ily (i love you baby) (feat. Emilee) by Surf Mesa has streamed 18379649 times and streamed on average 13349245 times
In Your Eyes by The Weeknd has streamed 11591688 times and streamed on average 8873942 times
Intentions (feat. Quavo) by Justin Bieber has streamed 13753102 times and streamed on average 10668208 times
Investe Em Mim by Jonas Esticado has streamed 4520186 times and streamed on average 4695568 times
invisible string by Taylor Swift has streamed 18127237 times and streamed on average 11275677 times
It's You by Ali Gatie has streamed 4725760 times and streamed on average 4617789 times
Jangueo by Alex Rose has streamed 4924529 times and streamed on average 4901141 times
Jeans by Justin Quiles has streamed 4927559 times and streamed on average 6581265 times
Jerusalema (feat. Nomcebo Zikode) by Master KG has streamed 4617442 times and streamed on average 5834900 times
Jocelyn Flores by XXXTENTACION has streamed 6094534 times and streamed on average 5980376 times
Jolie nana by Aya Nakamura has streamed 5786578 times and streamed on average 5118007 times
Juice WRLD Speaks From Heaven - Outro by Juice WRLD has streamed 6682917 times and streamed on average 6682917 times
July by Noah Cyrus has streamed 4418941 times and streamed on average 4465564 times
Karaoke by Boomdabash has streamed 4374448 times and streamed on average 4374448 times
Kill This Love by BLACKPINK has streamed 4341050 times and streamed on average 4341050 times
Kings & Queens by Ava Max has streamed 10689403 times and streamed on average 9591968 times
Know Your Worth by Khalid has streamed 4374392 times and streamed on average 4374392 times
LA CANCIÓN by J Balvin has streamed 4606136 times and streamed on average 4580778 times
La Curiosidad by Jay Wheeler has streamed 6128469 times and streamed on average 9968244 times
La Difícil by Bad Bunny has streamed 5673996 times and streamed on average 5200775 times
La Jeepeta - Remix by Nio Garcia has streamed 13797232 times and streamed on average 12628271 times
La Tóxica by Farruko has streamed 4999594 times and streamed on average 8560171 times
Lalala by Y2K has streamed 4814201 times and streamed on average 4678083 times
Laugh Now Cry Later (feat. Lil Durk) by Drake has streamed 33016564 times and streamed on average 25780980 times
Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto) by Super Yei has streamed 5321331 times and streamed on average 6237224 times
Lemonade by Internet Money has streamed 8430931 times and streamed on average 9902139 times
Lemonade (feat. Gunna, Don Toliver & NAV) by Internet Money has streamed 13621877 times and streamed on average 20986477 times
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix] by Internet Money has streamed 5550390 times and streamed on average 5550390 times
Let Her Go by Passenger has streamed 4341552 times and streamed on average 4515904 times
Lets Link by WhoHeem has streamed 6413761 times and streamed on average 5761399 times
Levitating (feat. DaBaby) by Dua Lipa has streamed 5814592 times and streamed on average 5814592 times
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix] by Dua Lipa has streamed 5254969 times and streamed on average 5254969 times
Life Is Good (feat. Drake) by Future has streamed 9093197 times and streamed on average 7814228 times
