BST OF PLAYLIST
+Linda by Dalex has streamed 4575485 times and streamed on average 4770096 times
10,000 Hours (with Justin Bieber) by Dan + Shay has streamed 5349928 times and streamed on average 5089092 times
2012 by Bausa has streamed 4685894 times and streamed on average 4685894 times
21 by Polo G has streamed 4548161 times and streamed on average 4849783 times
24 (feat. Lil Baby) by Money Man has streamed 4891115 times and streamed on average 5170551 times
44 BullDog by Pop Smoke has streamed 8443771 times and streamed on average 8443771 times
7 rings by Ariana Grande has streamed 5949298 times and streamed on average 5720320 times
7 Summers by Morgan Wallen has streamed 10149909 times and streamed on average 7498894 times
ADMV by Maluma has streamed 5041870 times and streamed on average 4889580 times
Adore You by Harry Styles has streamed 10512379 times and streamed on average 9418337 times
After Party by Don Toliver has streamed 8745733 times and streamed on average 7053650 times
Afterthought by Joji has streamed 4977405 times and streamed on average 4977405 times
Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie by Tainy has streamed 6966459 times and streamed on average 7753366 times
Aim For The Moon (feat. Quavo) by Pop Smoke has streamed 9011502 times and streamed on average 9011502 times
Ain't It Different (feat. AJ Tracey & Stormzy) by Headie One has streamed 5454544 times and streamed on average 5028440 times
Airwaves by Pashanim has streamed 4352767 times and streamed on average 4352767 times
Alane by Robin Schulz has streamed 4847828 times and streamed on average 4758010 times
All Girls Are The Same by Juice WRLD has streamed 4596434 times and streamed on average 5074614 times
All of Me by John Legend has streamed 4801510 times and streamed on average 5146810 times
Amarillo by J Balvin has streamed 6133764 times and streamed on average 5414427 times
Anaranjado by Jowell & Randy has streamed 4573709 times and streamed on average 4574556 times
Andere Welt by Capital Bra has streamed 5600868 times and streamed on average 5600868 times
Anxiety - Intro by Juice WRLD has streamed 8449557 times and streamed on average 8449557 times
Are You Bored Yet? (feat. Clairo) by Wallows has streamed 4850268 times and streamed on average 5045262 times
august by Taylor Swift has streamed 21018440 times and streamed on average 12802338 times
Ay, DiOs Mío! by KAROL G has streamed 4728576 times and streamed on average 9112803 times
Ayer Me Llamó Mi Ex (feat. Lenny Santos) by KHEA has streamed 7793597 times and streamed on average 7435190 times
Azul by J Balvin has streamed 7940148 times and streamed on average 6985668 times
Bad Bitch From Tokyo (Intro) by Pop Smoke has streamed 6144736 times and streamed on average 6144736 times
Bad Energy by Juice WRLD has streamed 14794484 times and streamed on average 9777819 times
bad guy by Billie Eilish has streamed 9080799 times and streamed on average 8124418 times
Ballin' (with Roddy Ricch) by Mustard has streamed 5627135 times and streamed on average 5032034 times
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix by Conkarah has streamed 7571777 times and streamed on average 6098112 times
Bande organisée by Kofs has streamed 6335268 times and streamed on average 5983638 times
Bandit (with YoungBoy Never Broke Again) by Juice WRLD has streamed 4975173 times and streamed on average 4744968 times
Be Alright by Dean Lewis has streamed 4479560 times and streamed on average 4884115 times
Be Kind (with Halsey) by Marshmello has streamed 10768670 times and streamed on average 8451633 times
Be Like That - feat. Swae Lee & Khalid by Kane Brown has streamed 5184053 times and streamed on average 5659079 times
Beautiful People (feat. Khalid) by Ed Sheeran has streamed 5872020 times and streamed on average 5522478 times
Before You Go by Lewis Capaldi has streamed 12433117 times and streamed on average 12314286 times
Believer by Imagine Dragons has streamed 6389031 times and streamed on average 6428229 times
Bet You Wanna (feat. Cardi B) by BLACKPINK has streamed 19722370 times and streamed on average 19722370 times
Better by ZAYN has streamed 9883600 times and streamed on average 8159420 times
Better Now by Post Malone has streamed 4508160 times and streamed on average 4469865 times
betty by Taylor Swift has streamed 16308681 times and streamed on average 10710430 times
BLACK PARADE by Beyoncé has streamed 5474807 times and streamed on average 5474807 times
Blastoff (feat. Juice Wrld & Trippie Redd) by Internet Money has streamed 8323656 times and streamed on average 6475907 times
BLIND (feat. Young Thug) by DaBaby has streamed 5074613 times and streamed on average 5074613 times
Blinding Lights by The Weeknd has streamed 32272255 times and streamed on average 27532361 times
Blood On My Jeans by Juice WRLD has streamed 15277814 times and streamed on average 10128356 times
bloody valentine by Machine Gun Kelly has streamed 6032935 times and streamed on average 6032935 times
Blueberry Faygo by Lil Mosey has streamed 16936460 times and streamed on average 13083724 times
Bläulich by Apache 207 has streamed 9748926 times and streamed on average 7174167 times
Bohemian Rhapsody - 2011 Mix by Queen has streamed 5584068 times and streamed on average 5492145 times
BOP by DaBaby has streamed 4755598 times and streamed on average 4626024 times
Boss Bitch by Doja Cat has streamed 7680974 times and streamed on average 6150906 times
Boy With Luv (feat. Halsey) by BTS has streamed 5820968 times and streamed on average 5412202 times
Brand New Draco by 21 Savage has streamed 5841110 times and streamed on average 5841110 times
Break My Heart by Dua Lipa has streamed 17901708 times and streamed on average 13115224 times
Breaking Me by Topic has streamed 18484450 times and streamed on average 16281240 times
Bruises by Lewis Capaldi has streamed 4752861 times and streamed on average 4635695 times
BXL ZOO by Damso has streamed 5101640 times and streamed on average 5101640 times
Can't Die by Juice WRLD has streamed 11121119 times and streamed on average 8449489 times
Caramelo by Ozuna has streamed 9826561 times and streamed on average 10233639 times
Caramelo - Remix by Ozuna has streamed 5946178 times and streamed on average 5994392 times
cardigan by Taylor Swift has streamed 35783009 times and streamed on average 20547341 times
Chicago Freestyle (feat. Giveon) by Drake has streamed 8456023 times and streamed on average 6627530 times
China by Anuel AA has streamed 5733681 times and streamed on average 5180353 times
Circles by Post Malone has streamed 11558990 times and streamed on average 10161666 times
Closer by The Chainsmokers has streamed 4451536 times and streamed on average 4395063 times
Come & Go (with Marshmello) by Juice WRLD has streamed 30027587 times and streamed on average 20989663 times
Como Llora by Juanfran has streamed 4450691 times and streamed on average 4415499 times
Conversations by Juice WRLD has streamed 21350095 times and streamed on average 13077730 times
Coño by Jason Derulo has streamed 4486806 times and streamed on average 4474608 times
Crazy Over You by BLACKPINK has streamed 13417932 times and streamed on average 13417932 times
Creature (feat. Swae Lee) by Pop Smoke has streamed 7308690 times and streamed on average 7308690 times
Cry About It Later by Katy Perry has streamed 5306994 times and streamed on average 5306994 times
CÓMO SE SIENTE - Remix by Jhay Cortez has streamed 6545230 times and streamed on average 5687163 times
Daddy Issues by The Neighbourhood has streamed 4851074 times and streamed on average 4851074 times
Daisies by Katy Perry has streamed 4838067 times and streamed on average 4838067 times
Daisy by Ashnikko has streamed 5539383 times and streamed on average 6622987 times
Dance Monkey by Tones And I has streamed 19043383 times and streamed on average 15788112 times
Daylight by Joji has streamed 5556471 times and streamed on average 6188154 times
death bed (coffee for your head) by Powfu has streamed 22131026 times and streamed on average 16617870 times
Deep End Freestyle by Sleepy Hallow has streamed 5698488 times and streamed on average 5489649 times
Del Mar by Ozuna has streamed 7050633 times and streamed on average 6374366 times
Desce Pro Play (PA PA PA) by Mc Zaac has streamed 5518518 times and streamed on average 5067019 times
Despeinada by Ozuna has streamed 4892383 times and streamed on average 8149217 times
DEUX TOILES DE MER by Damso has streamed 5094137 times and streamed on average 5094137 times
Diamonds by Sam Smith has streamed 10413301 times and streamed on average 8961798 times
Dior by Pop Smoke has streamed 5223126 times and streamed on average 5979240 times
Diosa by Myke Towers has streamed 5037376 times and streamed on average 4952778 times
Djadja (feat. Maluma) - Remix by Aya Nakamura has streamed 5791395 times and streamed on average 6677458 times
DOLLAZ ON MY HEAD (feat. Young Thug) by Gunna has streamed 5298488 times and streamed on average 5208930 times
Dolly (with Lil Uzi Vert) by Lil Tecca has streamed 4800543 times and streamed on average 4800543 times
Don Don by Daddy Yankee has streamed 6454296 times and streamed on average 6356730 times
Don't Start Now by Dua Lipa has streamed 18537909 times and streamed on average 14342000 times
Don't Stop Believin' by Journey has streamed 4394985 times and streamed on average 4394985 times
Don't Stop Me Now - 2011 Mix by Queen has streamed 4385366 times and streamed on average 4393944 times
Dreams - 2004 Remaster by Fleetwood Mac has streamed 6931843 times and streamed on average 9029201 times
drunk face by Machine Gun Kelly has streamed 4834258 times and streamed on average 4834258 times
Dynamite by BTS has streamed 39904687 times and streamed on average 34131890 times
Ego Death (feat. Kanye West, FKA twigs & Skrillex) by Ty Dolla $ign has streamed 7357022 times and streamed on average 5970248 times
El Efecto by Rauw Alejandro has streamed 5519710 times and streamed on average 4992926 times
El Efecto - Remix by Rauw Alejandro has streamed 4484316 times and streamed on average 4458850 times
El Manual by Anuel AA has streamed 4470597 times and streamed on average 4470597 times
El Mismo Aire - con Pablo Alborán by Camilo has streamed 4556759 times and streamed on average 4868713 times
Electric Love by BØRNS has streamed 5308884 times and streamed on average 6197534 times
Elegí (feat. Dímelo Flow) by Rauw Alejandro has streamed 8370993 times and streamed on average 6675628 times
Emotionally Scarred by Lil Baby has streamed 4633237 times and streamed on average 4633237 times
Enjoy Yourself (feat. Karol G) by Pop Smoke has streamed 6620040 times and streamed on average 6620040 times
Epidemic by Polo G has streamed 6292620 times and streamed on average 6292620 times
epiphany by Taylor Swift has streamed 14542269 times and streamed on average 10313895 times
everything i wanted by Billie Eilish has streamed 7539582 times and streamed on average 6697892 times
Ew by Joji has streamed 6936305 times and streamed on average 6936305 times
exile (feat. Bon Iver) by Taylor Swift has streamed 30941803 times and streamed on average 17933168 times
Falling by Trevor Daniel has streamed 12184922 times and streamed on average 9275363 times
Favorito by Camilo has streamed 7567244 times and streamed on average 7070876 times
feel something by Bea Miller has streamed 4815296 times and streamed on average 5139360 times
Fighting Demons by Juice WRLD has streamed 12997697 times and streamed on average 9472135 times
Flex (feat. Juice WRLD) by Polo G has streamed 5443862 times and streamed on average 5054071 times
For The Night (feat. Lil Baby & DaBaby) by Pop Smoke has streamed 15991876 times and streamed on average 19414923 times
forget me too (feat. Halsey) by Machine Gun Kelly has streamed 8889104 times and streamed on average 7530669 times
FRANCHISE (feat. Young Thug & M.I.A.) by Travis Scott has streamed 18111805 times and streamed on average 14426850 times
Freak by Doja Cat has streamed 4736059 times and streamed on average 4736059 times
Frühstück in Paris by Capital Bra has streamed 5440253 times and streamed on average 5440253 times
Fuckst mich nur ab by Bonez MC has streamed 6056252 times and streamed on average 5477386 times
Gangstas by Pop Smoke has streamed 9183170 times and streamed on average 7143796 times
Get You The Moon (feat. Snøw) by Kina has streamed 4574684 times and streamed on average 4704506 times
Gifted (feat. Roddy Ricch) by Cordae has streamed 4609169 times and streamed on average 4609169 times
Gimme Love by Joji has streamed 7471309 times and streamed on average 7471309 times
Girls in the Hood by Megan Thee Stallion has streamed 4577209 times and streamed on average 4577209 times
Girls Like You (feat. Cardi B) by Maroon 5 has streamed 4318772 times and streamed on average 4318772 times
Glock In My Lap by 21 Savage has streamed 10620418 times and streamed on average 10620418 times
GO (feat. Juice WRLD) by The Kid LAROI has streamed 7668876 times and streamed on average 6143934 times
Go Crazy by Chris Brown has streamed 6702857 times and streamed on average 8166460 times
Godzilla (feat. Juice WRLD) by Eminem has streamed 7303448 times and streamed on average 6311327 times
GOOBA by 6ix9ine has streamed 12913152 times and streamed on average 8802053 times
Goodbyes (feat. Young Thug) by Post Malone has streamed 4846620 times and streamed on average 4687181 times
goosebumps by Travis Scott has streamed 11067630 times and streamed on average 9846503 times
Got It On Me by Pop Smoke has streamed 10606428 times and streamed on average 8206995 times
GREECE (feat. Drake) by DJ Khaled has streamed 15266857 times and streamed on average 11674028 times
Hallucinate by Dua Lipa has streamed 4467368 times and streamed on average 4470018 times
Happier by Marshmello has streamed 5563095 times and streamed on average 5247769 times
Hasta Que Dios Diga by Anuel AA has streamed 11096052 times and streamed on average 8555505 times
Hate The Other Side (with Marshmello & The Kid Laroi) by Juice WRLD has streamed 19071066 times and streamed on average 11961531 times
Hawái by Maluma has streamed 9103904 times and streamed on average 18230253 times
Head & Heart (feat. MNEK) by Joel Corry has streamed 4844615 times and streamed on average 11881179 times
Head Shoulders Knees & Toes (feat. Norma Jean Martine) by Ofenbach has streamed 4721328 times and streamed on average 4901953 times
Heart Of Glass (Live from the iHeart Festival) by Miley Cyrus has streamed 5555132 times and streamed on average 5555132 times
